,Kokichi Oma
Watch a documentary on bugs,Y
Watch a documentary on criminal organizations,R
Watch a documentary on the police,R
Watch an action movie,Y
Watch a comedy movie,G
Watch an anime movie,R
I might fall asleep...,R
Play dominoes with the movie boxes,G
"We should focus on reality, not movies",Y
Let's cook something,Y
Let's go through the trash,G
Let's wash the dishes,O
Let's go in the freezer,Y
Let's have some tea,G
Let's try fasting,R
Exercising after a meal,O
Drinking coffee after a meal,Y
Getting horny after a meal,G
Let's read a dirty book,G
Let's read manga,Y
This is boring...,O
Let's study,G
I'm getting sleepy...,Y
Sure is dusty in here,O
Let's clean up a little,G
Let's read a book on conspiracy theories,O
Let's make a tower of books,Y
Let's get our bodies moving,G
Let's clean up a little,Y
I'm tired...,R
Let's play basketball,R
"Ah, maybe we should take off our clothes?",G
Let's do some image training,O
Let's play dodgeball,G
I'll just watch you...,O
Let's burn this place to the ground,R
Let's get some fresh air,G
Let's go for a run,O
Let's go back inside,Y
Let's relax in the sun,G
Let's dance!,Y
What a great view...,O
I've gotten used to being here...,Y
I want to get outside as soon as I can...,O
Staying here forever wouldn't be so bad,G