,Korekiyo Shinguji
Watch a documentary on bugs,G
Watch a documentary on athletes,Y
Watch a documentary on mediums,M
Watch an action movie,R
Watch a drama movie,G
Watch an anime movie,Y
I might fall asleep...,Y
Play dominoes with the movie boxes,R
"We should focus on reality, not movies",G
Let's cook something,G
Let's eat candy,O
Let's drink something,R
Let's go in the freezer,R
Let's have some tea,Y
Let's try fasting,G
Getting horny after a meal,G
Napping after a meal,Y
Exercising after a meal,O
Let's read a dirty book,G
Let's read manga,Y
This is boring...,O
Let's study,G
I'm getting sleepy...,O
Sure is dusty in here,Y
Let's look at the world map,Y
I want to scream really loud!,R
Let's make a tower of books,G
Let's get our bodies moving,Y
Let's clean up a little,G
I'm tired...,R
Let's play basketball,R
"Ah, maybe we should take off our clothes?",O
Let's warm up a bit,G
Let's play dodgeball,O
I'll be the referee,G
Let's burn this place to the ground,Y
Let's get some fresh air,G
Let's go for a run,Y
Let's relax in the sun,O
What a great view...,O
Let's dance!,Y
Let's go for a walk,G
I've gotten used to being here...,Y
I want to get outside as soon as I can...,G
Staying here forever wouldn't be so bad,R