,Miu Iruma
Watch a documentary on bugs,R
Watch a documentary on inventors,O
Watch a documentary on magic tricks,G
Let's go to the bathroom,O
Let's try to find a dirty movie,G
"We should focus on reality, not movies",Y
Let's drink some soda,R
Let's have a sword fight with rolled-up posters,O
Let's shoot a video of us,G
Let's cook something,Y
Let's bake something,G
Let's drink something,O
Let's go in the freezer,G
Let's have some tea,Y
Let's try fasting,O
Drinking coffee after a meal,G
Sleeping after a meal,Y
Exercising after a meal,R
Let's read a dirty book,G
Let's read manga,Y
This is boring...,R
Let's study,R
I'm getting sleepy...,G
Sure is dusty in here,O
Let's read a book about patent laws,R
I want to scream really loud!,Y
Let's make a tower of books,G
Let's get our bodies moving,G
Let's clean up a little,R
I'm tired...,Y
Let's play basketball,R
"Ah, maybe we should take off our clothes?",G
Let's warm up a bit,Y
Let's play dodgeball,G
I'll be the referee,Y
Let's burn this place to the ground,O
Let's get some fresh air,Y
Let's go for a run,O
Let's relax in the sun,G
What a great view...,G
Let's dance!,O
Let's go for a walk,Y
I've gotten used to being here...,Y
I want to get outside as soon as I can...,G
Staying here forever wouldn't be so bad,R