,Ryoma Hoshi
Watch a documentary on bugs,Y
Watch a documentary on tennis players,G
Watch a documentary on the police,O
Watch an action movie,R
Watch a comedy movie,O
Watch an anime movie,G
I might fall asleep...,G
Play dominoes with the movie boxes,O
"We should focus on reality, not movies",R
Let's cook something,R
Let's bake something,G
Let's drink something,Y
Let's go in the freezer,R
Let's have some tea,G
Let's try fasting,O
Drinking green tea after a meal,G
Sleeping after a meal,O
Exercising after a meal,Y
Let's read a dirty book,O
Let's read manga,G
This is boring...,Y
Let's study,R
Sure is dusty in here,Y
Let's make a tower of books,O
Let's read a book on the mafia,R
Let's write a book,G
I want to scream really loud!,R
Let's get our bodies moving,G
Let's clean up a little,Y
I'm tired...,O
Let's play basketball,Y
"Ah, maybe we should take off our clothes?",R
Let's warm up a bit,G
Let's play dodgeball,O
Let's do some muscle training,G
Let's burn this place to the ground,R
Let's get some fresh air,G
Let's go for a run,O
Let's go back inside,R
What a great view...,Y
Let's dance!,O
Let's go for a walk,G
I've gotten used to being here...,G
I want to get outside as soon as I can...,O
Staying here forever wouldn't be so bad,R