,Tenko Chabashira
Watch a documentary on bugs,O
Watch a documentary on martial arts,G
Watch a documentary on idols,Y
Watch an action movie,O
Watch a comedy movie,Y
Watch an anime movie,G
It's hard to decide what to watch,O
Play dominoes with the movie boxes,R
"We should focus on reality, not movies",G
Let's cook something,O
Let's eat some candy,G
Let's drink something,R
Let's go in the freezer,R
Let's have some tea,G
Let's try fasting,O
Exercising after a meal,G
Drinking coffee after a meal,O
Getting horny after a meal,R
Let's read a dirty book,R
Let's read manga,G
This is boring...,Y
Let's study,O
I'm getting sleepy...,G
Sure is dusty in here,Y
Let's read a novel,Y
Let's read a book of gravure prints,R
Let's read a book on martial arts,G
Let's get our bodies moving,Y
Let's clean up a little,G
I'm tired...,R
Let's play basketball,Y
"Ah, maybe we should take off our clothes?",O
Let's warm up a bit,G
Let's play dodgeball,G
Let's burn this place to the ground,R
You want to spar with me?,Y
Let's get some fresh air,G
Let's do some muscle training,Y
What a great view...,O
Let's relax in the sun,G
Let's dance!,O
Let's go back inside,R
Let's play catch,O
Let's run a marathon,R
Let's blow bubbles,G